Cidade,Região,População,Altitude (m)
Roma,Lazio,2840000,21
Milão,Lombardia,1408000,122
Nápoles,Campania,959000,17
Turim,Piemonte,878000,240
Palermo,Sicília,657000,14
Gênova,Ligúria,583000,20
Bolonha,Emília-Romanha,388000,54
Florença,Toscana,382000,50
Bari,Puglia,325000,5
Catânia,Sicília,311000,7
Veneza,Vêneto,260000,2
Verona,Vêneto,257000,59
Messina,Sicília,242000,3
Pádua,Vêneto,212000,12
Trieste,Friul-Veneza Júlia,204000,2
